Id,Date,League,HomeTeam,AwayTeam,HomeWin,Draw,AwayWin,OverOneGoal,OverTwoGoals,OverThreeGoals,OverFourGoals,UnderOneGoal,UnderTwoGoals,UnderThreeGoals,UnderFourGoals
1,6.10.2024 15:10,Scotland - Premier League Women,Partick Thistle,Hearts,0.159,0.165,0.677,0,0.59,0.356,0,0,0.41,0.644,0
15,6.10.2024 15:30,Italy - Serie C Group B,Virtus Entella,Legnago Salus,0.727,0.193,0.079,0,0.489,0,0,0,0.511,0,0
20,6.10.2024 15:45,UAE - Pro League,Sharjah FC,Al-Urooba,0.872,0.086,0.042,0,0,0.489,0.359,0,0,0.511,0.641
21,6.10.2024 16:00,Mexico - Liga TDP,Antequera F.C.,Dragones de Oaxaca,0.108,0.179,0.713,0,0.534,0.303,0,0,0.466,0.697,0
23,6.10.2024 16:00,Spain - Tercera Division,SD Oyonesa,CD Autol,0.693,0.198,0.109,0,0.523,0,0,0,0.477,0,0
29,6.10.2024 16:00,Russia - First League,FK Sochi,Chayka Peschanokopskoye,0.675,0.214,0.112,0.742,0.493,0.265,0,0.258,0.507,0.735,0
39,6.10.2024 16:00,Cyprus - 1st Division,Enosis Neon Paralimni,Pafos FC,0.087,0.164,0.749,0.79,0.57,0.341,0,0.21,0.43,0.659,0
48,6.10.2024 17:00,Mexico - Liga TDP,Club Marina C.R.,FC Juarez II,0.046,0.096,0.858,0,0.691,0.467,0.333,0,0.309,0.533,0.667
58,6.10.2024 17:00,Serbia - Super Liga,FK IMT Novi Beograd,Red Star Belgrade,0.036,0.089,0.875,0,0.625,0.394,0,0,0.375,0.606,0
59,6.10.2024 17:00,Guatemala - Primera Division de Ascenso,Mictlan,Deportivo Chiquimulilla,0.67,0.218,0.112,0,0.47,0,0,0,0.53,0,0
64,6.10.2024 17:00,Ecuador - Serie A,Universidad Catolica del Ecuador,Imbabura,0.725,0.165,0.109,0.823,0.618,0.393,0,0.177,0.382,0.607,0
86,6.10.2024 18:00,Romania - Liga 1,FCSB,Gloria Buzau,0.732,0.177,0.091,0.785,0.556,0.33,0,0.215,0.444,0.67,0
89,6.10.2024 19:00,Peru - Reserve League,FBC Melgar,Sport Boys,0.669,0.201,0.13,0,0.585,0.36,0,0,0.415,0.64,0
91,6.10.2024 19:00,Peru - Reserve League,Alianza Lima,Cienciano del Cuzco,0.783,0.143,0.074,0,0.686,0.471,0.342,0,0.314,0.529,0.658
93,6.10.2024 19:00,Argentina - Torneo Federal A,Club Villa Mitre,El Linqueno,0.656,0.261,0.083,0.581,0.313,0,0,0.419,0.687,0,0
99,6.10.2024 19:30,Ecuador - Serie A,LDU Quito,Orense,0.723,0.192,0.085,0.743,0.484,0.268,0,0.257,0.516,0.732,0
101,6.10.2024 19:30,Portugal - Primeira Liga,Porto,Braga,0.681,0.195,0.124,0.848,0.645,0.422,0,0.152,0.355,0.578,0
103,6.10.2024 20:00,Mexico - Liga TDP,La Tribu de Ciudad Juarez,Cobras Futbol Premier,0.779,0.141,0.081,0,0.641,0.413,0.274,0,0.359,0.587,0.726
