Id,Date,League,HomeTeam,AwayTeam,HomeWin,Draw,AwayWin,OverOneGoal,OverTwoGoals,OverThreeGoals,OverFourGoals,UnderOneGoal,UnderTwoGoals,UnderThreeGoals,UnderFourGoals
9,6.10.2024 15:30,Spain - Tercera Division,Atletico Arteixo,Betanzos CF,0.365,0.334,0.301,0.621,0.334,0,0,0.379,0.666,0,0
73,6.10.2024 18:00,Argentina - Primera C Metropolitana,CDS Juventud Unida (BA),El Porvenir,0.359,0.34,0.301,0.617,0.329,0,0,0.383,0.671,0,0
109,6.10.2024 20:00,Argentina - Primera B Nacional,Patronato Parana,San Martin de Tucuman,0.339,0.348,0.312,0.583,0.297,0.129,0,0.417,0.703,0.871,0
155,6.10.2024 23:00,Paraguay - Division Profesional,Sportivo Ameliano,Nacional Asuncion,0.333,0.348,0.319,0.634,0.344,0.163,0,0.366,0.656,0.837,0
168,7.10.2024 12:30,Egypt - 2nd Division A,Tanta,Wadi Degla,0.318,0.334,0.348,0.612,0.327,0,0,0.388,0.673,0,0
174,7.10.2024 16:45,Russia - First League,FC Sokol Saratov,SK Rotor Volgograd,0.356,0.312,0.332,0.593,0.329,0.149,0,0.407,0.671,0.851,0
179,7.10.2024 18:00,Argentina - Liga Pro,Barracas Central,Independiente Rivadavia,0.342,0.316,0.343,0.631,0.348,0.161,0,0.369,0.652,0.839,0
189,7.10.2024 21:00,Argentina - Liga Pro,Banfield,Estudiantes de La Plata,0.311,0.349,0.34,0.589,0.3,0.13,0,0.411,0.7,0.87,0
190,7.10.2024 21:30,Uruguay - Segunda Division,Rentistas,Uruguay Montevideo,0.311,0.347,0.342,0.573,0.287,0,0,0.427,0.713,0,0
197,8.10.2024 0:00,Brazil - Serie B,Goias,Santos,0.303,0.33,0.367,0.625,0.34,0.158,0,0.375,0.66,0.842,0
